Worker_ID,Zone,Temperature,Gas_Level,Humidity,Machine_Vibration,Noise_Level,Worker_Fatigue,PPE_Status,Risk_Level
Worker-0072,Assembly Line,20.0,78.85,57.71,4.73,99.76,33.24,Available,WARNING
Worker-0073,Refinery Zone,45.08,46.17,51.0,5.05,87.46,20.98,Missing,SAFE
Worker-0074,Power Station,46.8,57.86,74.23,6.56,52.51,40.44,Available,SAFE
Worker-0075,Power Station,49.98,26.29,91.02,5.68,77.31,82.44,Available,SAFE
Worker-0076,Refinery Zone,75.91,88.88,55.02,2.21,94.43,12.45,Missing,CRITICAL
Worker-0077,Refinery Zone,54.68,79.22,40.7,2.23,88.72,11.24,Available,SAFE
Worker-0078,Steel Furnace,60.88,1.03,36.33,9.14,40.0,39.6,Missing,CRITICAL
Worker-0079,Steel Furnace,67.54,46.85,92.57,8.76,47.4,90.71,Available,CRITICAL
Worker-0080,Power Station,20.0,43.61,67.68,5.43,74.35,37.94,Missing,SAFE
Worker-0081,Assembly Line,25.43,61.74,67.33,2.64,56.2,39.38,Available,SAFE
Worker-0082,Chemical Plant,44.06,68.88,40.29,2.73,85.08,13.47,Missing,SAFE
Worker-0083,Mining Area,37.05,25.18,57.86,2.86,54.3,40.96,Available,SAFE
Worker-0084,Chemical Plant,74.47,45.88,46.01,8.86,79.28,88.27,Available,WARNING
Worker-0085,Power Station,43.32,39.48,72.28,2.66,90.15,27.79,Available,SAFE
Worker-0086,Chemical Plant,40.87,0.0,29.7,5.16,102.34,73.54,Missing,WARNING
Worker-0087,Chemical Plant,53.65,52.78,100.0,1.96,97.39,48.03,Available,SAFE
Worker-0088,Steel Furnace,20.9,50.09,44.87,1.18,46.55,37.38,Missing,SAFE
Worker-0089,Power Station,35.3,17.96,93.74,8.1,92.63,52.37,Available,WARNING
Worker-0090,Mining Area,46.16,23.47,90.46,4.88,85.78,20.84,Missing,WARNING
Worker-0091,Steel Furnace,31.87,10.43,78.52,4.2,113.19,93.85,Available,SAFE
Worker-0092,Refinery Zone,24.02,59.07,46.99,2.68,65.26,34.23,Missing,SAFE
Worker-0093,Assembly Line,45.73,24.23,65.41,2.01,74.0,43.82,Missing,SAFE
Worker-0094,Assembly Line,36.35,63.88,70.02,9.36,55.45,57.32,Missing,WARNING
Worker-0095,Chemical Plant,20.0,58.58,46.75,3.91,86.41,46.16,Available,SAFE
Worker-0096,Steel Furnace,20.59,46.2,65.19,3.6,56.91,59.41,Available,SAFE
Worker-0097,Mining Area,44.01,14.72,46.96,4.03,75.95,21.43,Available,SAFE
Worker-0098,Power Station,60.09,30.58,76.71,7.84,52.41,60.63,Available,WARNING
Worker-0099,Power Station,20.0,25.08,71.54,8.48,70.94,92.03,Available,SAFE
Worker-0100,Chemical Plant,50.57,29.9,61.73,6.17,71.89,81.56,Available,SAFE
Worker-0101,Refinery Zone,50.06,34.7,50.25,2.48,66.35,79.24,Available,SAFE
Worker-0102,Steel Furnace,49.35,96.89,77.42,4.53,68.48,79.41,Available,WARNING
Worker-0103,Chemical Plant,20.0,19.8,22.58,7.73,67.97,52.73,Missing,WARNING
Worker-0104,Chemical Plant,49.9,39.52,76.59,9.16,40.0,63.06,Available,SAFE
Worker-0105,Mining Area,22.82,73.59,66.77,6.58,66.69,55.34,Missing,WARNING
Worker-0106,Steel Furnace,47.73,51.21,50.81,3.24,58.0,73.24,Available,SAFE
Worker-0107,Refinery Zone,46.07,33.06,69.58,4.08,81.67,79.81,Missing,WARNING
Worker-0108,Steel Furnace,40.95,20.53,51.11,3.06,82.55,71.39,Missing,SAFE
Worker-0109,Assembly Line,58.04,78.89,68.27,3.27,112.54,39.38,Available,CRITICAL
Worker-0110,Chemical Plant,20.0,82.4,73.09,2.38,73.89,59.83,Available,SAFE
Worker-0111,Refinery Zone,81.69,48.23,62.19,7.27,89.52,88.41,Missing,CRITICAL
Worker-0112,Mining Area,33.14,56.79,97.64,4.82,101.91,72.6,Missing,WARNING
Worker-0113,Assembly Line,30.16,41.86,61.11,6.32,96.88,43.92,Missing,WARNING
Worker-0114,Refinery Zone,42.63,34.33,39.76,5.84,41.9,88.19,Available,SAFE
Worker-0115,Refinery Zone,25.65,12.62,53.28,3.02,108.38,48.46,Available,SAFE
Worker-0116,Chemical Plant,41.31,38.18,10.0,9.23,73.91,40.8,Missing,WARNING
Worker-0117,Refinery Zone,72.73,73.16,54.62,1.77,52.87,94.73,Missing,CRITICAL
Worker-0118,Chemical Plant,83.6,46.48,60.28,2.89,74.52,86.33,Available,WARNING
Worker-0119,Steel Furnace,36.4,31.33,59.34,6.08,64.13,15.59,Available,SAFE
Worker-0120,Power Station,41.18,82.6,10.0,4.61,96.83,57.57,Missing,WARNING
Worker-0121,Steel Furnace,39.86,35.71,31.85,6.8,59.44,44.74,Missing,SAFE
Worker-0122,Steel Furnace,59.04,76.79,74.43,1.18,52.42,18.85,Missing,CRITICAL
Worker-0123,Assembly Line,37.13,57.23,35.56,1.89,89.26,30.67,Available,SAFE
Worker-0124,Chemical Plant,55.66,56.11,52.78,7.01,98.19,27.42,Missing,CRITICAL
Worker-0125,Power Station,53.9,37.26,66.52,4.79,49.98,85.88,Available,SAFE
Worker-0126,Chemical Plant,37.16,71.23,45.91,6.31,46.83,32.79,Available,SAFE
Worker-0127,Chemical Plant,25.79,88.87,18.36,3.65,108.93,90.62,Available,WARNING
Worker-0128,Steel Furnace,36.83,54.98,59.25,9.05,97.07,77.99,Missing,WARNING
Worker-0129,Assembly Line,39.55,43.58,66.16,6.7,40.8,31.92,Missing,SAFE
Worker-0130,Steel Furnace,47.56,40.4,60.37,2.55,81.95,33.15,Missing,SAFE
Worker-0131,Chemical Plant,47.94,20.54,68.17,6.86,40.95,80.53,Available,SAFE
Worker-0132,Assembly Line,48.84,69.57,93.31,2.58,95.29,87.73,Available,WARNING
Worker-0133,Assembly Line,20.0,13.01,47.5,2.5,75.52,72.73,Missing,SAFE
Worker-0134,Assembly Line,47.8,26.12,47.77,3.6,46.87,40.23,Missing,SAFE
Worker-0135,Assembly Line,30.36,71.34,41.01,6.97,120.0,89.63,Missing,CRITICAL
Worker-0136,Steel Furnace,32.12,62.51,48.49,5.47,77.44,60.73,Available,SAFE
Worker-0137,Mining Area,62.24,27.42,59.3,7.2,110.42,46.96,Available,WARNING
Worker-0138,Chemical Plant,55.62,30.94,72.65,3.45,94.45,60.17,Available,WARNING
Worker-0139,Refinery Zone,34.09,38.81,58.51,2.67,87.41,56.06,Missing,SAFE
Worker-0140,Chemical Plant,50.7,60.26,71.2,7.23,96.62,82.18,Available,WARNING
Worker-0141,Power Station,43.95,3.48,68.59,2.63,79.15,58.28,Missing,SAFE
Worker-0142,Power Station,28.78,71.33,59.21,8.76,88.63,81.79,Available,WARNING
Worker-0143,Chemical Plant,59.07,32.1,61.92,3.07,65.75,20.25,Available,SAFE
Worker-0144,Steel Furnace,48.33,33.03,85.12,1.59,57.11,36.8,Available,SAFE
Worker-0145,Power Station,66.7,49.91,80.64,8.97,45.29,62.35,Available,WARNING
Worker-0146,Refinery Zone,46.23,71.64,49.65,5.32,103.19,63.34,Available,WARNING
Worker-0147,Assembly Line,38.32,81.33,91.59,3.15,64.54,19.39,Available,WARNING
Worker-0148,Power Station,24.83,22.03,39.92,1.38,59.64,11.52,Available,SAFE
Worker-0149,Power Station,44.48,50.86,91.01,2.96,55.03,90.75,Available,SAFE
Worker-0150,Power Station,59.76,39.65,59.01,6.52,88.5,24.2,Available,SAFE
Worker-0151,Assembly Line,47.5,57.31,65.78,3.08,120.0,25.0,Missing,WARNING
Worker-0152,Mining Area,35.65,31.11,47.25,1.52,98.78,92.37,Available,SAFE
Worker-0153,Refinery Zone,66.31,30.73,43.35,8.34,84.43,29.08,Missing,CRITICAL
Worker-0154,Steel Furnace,48.04,7.11,90.95,1.82,110.92,84.58,Missing,WARNING
Worker-0155,Assembly Line,35.81,35.31,65.72,6.9,81.69,56.82,Available,SAFE
Worker-0156,Refinery Zone,42.35,25.04,32.41,7.51,60.38,52.15,Missing,WARNING
Worker-0157,Assembly Line,37.24,50.59,59.67,5.33,98.77,60.35,Missing,WARNING
Worker-0158,Chemical Plant,37.66,71.1,73.64,3.4,111.93,84.68,Available,WARNING
Worker-0159,Assembly Line,53.86,72.72,76.41,7.28,85.15,67.81,Available,WARNING
Worker-0160,Chemical Plant,65.73,61.22,56.66,4.02,77.93,73.2,Available,SAFE
Worker-0161,Power Station,50.53,35.17,60.57,1.06,100.57,34.4,Missing,WARNING
Worker-0162,Steel Furnace,47.87,46.16,32.8,6.71,89.93,55.9,Missing,SAFE
Worker-0163,Chemical Plant,40.38,50.48,64.99,9.67,106.55,39.06,Available,SAFE
Worker-0164,Mining Area,54.12,49.67,51.07,3.71,78.88,70.19,Missing,SAFE
Worker-0165,Steel Furnace,46.99,27.5,83.9,1.41,44.54,84.08,Missing,WARNING
Worker-0166,Power Station,36.62,54.43,91.31,7.15,73.68,47.9,Missing,WARNING
Worker-0167,Power Station,23.28,0.0,68.8,7.24,64.96,28.77,Available,SAFE
Worker-0168,Refinery Zone,48.66,30.9,34.39,9.56,92.45,22.84,Missing,WARNING
Worker-0169,Refinery Zone,54.75,42.52,96.93,4.58,53.6,33.31,Available,SAFE
Worker-0170,Steel Furnace,44.32,51.08,55.18,2.92,82.04,12.65,Missing,SAFE
Worker-0171,Chemical Plant,26.23,81.09,58.36,9.71,97.35,25.77,Available,WARNING
Worker-0172,Refinery Zone,50.14,56.42,71.4,7.85,83.95,63.23,Available,SAFE
Worker-0173,Mining Area,47.95,62.73,58.21,2.06,103.8,20.64,Missing,WARNING
Worker-0174,Power Station,34.85,90.02,59.2,1.58,46.38,59.47,Available,SAFE
Worker-0175,Refinery Zone,57.61,28.68,51.08,1.1,40.0,16.16,Missing,WARNING
Worker-0176,Steel Furnace,38.22,0.0,28.32,7.25,90.21,83.11,Missing,WARNING
Worker-0177,Power Station,30.5,43.81,59.93,6.56,51.83,69.71,Missing,SAFE
Worker-0178,Mining Area,41.69,45.67,64.17,1.79,40.0,39.8,Available,SAFE
Worker-0179,Chemical Plant,29.98,37.97,95.95,8.21,87.82,27.01,Missing,WARNING
Worker-0180,Mining Area,65.99,68.12,61.19,7.38,62.06,84.03,Available,WARNING
Worker-0181,Chemical Plant,58.43,60.88,80.99,1.72,64.3,86.06,Missing,WARNING
Worker-0182,Steel Furnace,64.76,49.94,100.0,5.74,61.22,72.19,Missing,WARNING
Worker-0183,Steel Furnace,35.23,32.9,53.59,9.78,83.48,38.64,Missing,WARNING
Worker-0184,Power Station,52.84,30.66,59.51,6.0,117.85,71.13,Missing,WARNING
Worker-0185,Power Station,45.57,48.0,72.27,1.65,54.54,12.61,Available,SAFE
Worker-0186,Chemical Plant,41.14,3.29,67.98,7.68,87.94,46.17,Available,SAFE
Worker-0187,Refinery Zone,26.61,8.39,64.49,4.95,95.94,71.65,Available,SAFE
Worker-0188,Power Station,61.18,44.04,56.55,3.49,92.67,60.35,Available,WARNING
Worker-0189,Mining Area,67.15,79.5,47.49,7.44,82.92,87.27,Available,CRITICAL
Worker-0190,Assembly Line,36.75,28.21,59.49,3.23,98.45,84.01,Available,SAFE
Worker-0191,Chemical Plant,56.58,0.0,82.98,2.47,40.21,43.24,Missing,WARNING
Worker-0192,Mining Area,25.58,74.02,50.65,9.73,81.93,48.57,Available,WARNING
Worker-0193,Mining Area,46.15,12.93,79.93,4.88,65.12,31.14,Available,SAFE
Worker-0194,Refinery Zone,67.51,66.26,53.03,1.33,68.01,72.59,Available,SAFE
Worker-0195,Refinery Zone,40.18,96.92,67.64,6.27,83.6,83.8,Available,WARNING
Worker-0196,Mining Area,41.11,40.09,58.57,5.78,74.26,89.61,Missing,WARNING
Worker-0197,Power Station,55.99,42.98,61.57,1.37,40.0,22.61,Available,SAFE
Worker-0198,Steel Furnace,58.74,53.66,79.96,5.4,40.0,66.68,Available,SAFE
Worker-0199,Steel Furnace,61.62,19.0,72.26,9.73,53.93,17.98,Missing,CRITICAL
Worker-0200,Chemical Plant,35.64,92.85,56.19,7.23,79.35,81.24,Available,WARNING
Worker-0201,Refinery Zone,47.26,54.12,100.0,8.82,73.85,58.5,Missing,WARNING
Worker-0202,Assembly Line,61.58,74.68,72.77,4.54,52.14,65.35,Available,WARNING
Worker-0203,Mining Area,49.54,26.14,58.72,8.84,81.58,76.5,Available,SAFE
Worker-0204,Refinery Zone,69.21,56.34,55.12,3.94,94.28,66.75,Available,WARNING
Worker-0205,Assembly Line,53.96,62.53,54.05,8.36,102.51,20.22,Available,SAFE
Worker-0206,Assembly Line,42.4,45.39,38.07,4.57,46.2,69.11,Available,SAFE
Worker-0207,Steel Furnace,30.13,0.0,47.22,3.05,48.54,16.22,Missing,SAFE
Worker-0208,Mining Area,69.63,70.25,46.24,4.42,120.0,83.38,Missing,CRITICAL
Worker-0209,Steel Furnace,20.0,102.27,32.21,6.22,42.09,55.36,Available,SAFE
Worker-0210,Chemical Plant,65.76,59.1,71.9,9.6,92.07,11.55,Available,WARNING
Worker-0211,Assembly Line,56.38,52.03,62.08,1.54,73.75,89.43,Missing,WARNING
Worker-0212,Mining Area,33.69,37.98,26.14,3.56,73.03,36.12,Available,SAFE
Worker-0213,Mining Area,47.7,79.8,78.37,7.45,43.59,33.17,Missing,CRITICAL
Worker-0214,Refinery Zone,30.26,39.38,71.0,2.63,55.63,54.64,Missing,SAFE
Worker-0215,Refinery Zone,35.98,52.99,28.14,9.67,83.81,51.1,Missing,WARNING
Worker-0216,Chemical Plant,48.36,79.1,62.5,9.56,66.41,61.14,Available,WARNING
Worker-0217,Mining Area,45.73,46.01,45.96,6.5,61.74,44.94,Available,SAFE
Worker-0218,Power Station,26.34,27.68,45.63,8.4,92.9,46.02,Missing,WARNING
Worker-0219,Chemical Plant,34.9,51.97,43.29,6.28,117.9,24.28,Available,SAFE
Worker-0220,Power Station,54.51,55.34,56.29,1.21,72.4,64.57,Missing,SAFE
Worker-0221,Mining Area,59.46,100.26,48.85,6.35,47.6,52.23,Missing,CRITICAL
Worker-0222,Assembly Line,32.94,85.98,93.55,7.23,63.93,94.26,Available,CRITICAL
Worker-0223,Assembly Line,53.53,85.71,52.42,1.77,70.93,86.01,Available,WARNING
Worker-0224,Mining Area,36.27,19.63,47.01,1.62,50.52,54.12,Available,SAFE
Worker-0225,Refinery Zone,48.51,6.1,66.62,5.8,91.67,37.57,Missing,WARNING
Worker-0226,Chemical Plant,63.42,14.76,93.45,5.19,83.38,15.11,Available,WARNING
Worker-0227,Mining Area,53.37,46.9,70.78,2.81,56.59,55.55,Missing,SAFE
Worker-0228,Chemical Plant,43.33,22.4,45.29,6.98,99.72,77.61,Missing,WARNING
Worker-0229,Power Station,28.62,37.09,84.26,5.69,77.83,63.0,Missing,SAFE
Worker-0230,Refinery Zone,47.88,37.27,62.67,8.04,71.95,70.24,Available,SAFE
Worker-0231,Refinery Zone,33.21,11.72,23.28,4.57,85.16,48.01,Missing,SAFE
Worker-0232,Power Station,50.83,107.32,59.88,9.93,91.77,82.37,Missing,CRITICAL
Worker-0233,Refinery Zone,46.23,42.53,78.38,8.81,69.19,78.5,Missing,WARNING
Worker-0234,Mining Area,34.98,69.8,56.5,2.56,59.89,69.07,Missing,SAFE
Worker-0235,Refinery Zone,45.42,44.77,81.72,2.19,84.49,83.27,Missing,WARNING
Worker-0236,Power Station,44.62,65.44,87.8,2.57,86.16,52.72,Available,SAFE
Worker-0237,Steel Furnace,29.02,37.37,47.81,1.23,71.26,21.49,Missing,SAFE
Worker-0238,Refinery Zone,45.85,58.24,58.59,3.81,84.73,53.02,Missing,SAFE
Worker-0239,Refinery Zone,30.91,41.4,35.81,6.58,87.0,65.27,Available,SAFE
Worker-0240,Power Station,41.8,82.27,62.97,9.85,68.26,30.33,Missing,CRITICAL
Worker-0241,Assembly Line,35.8,37.44,52.24,5.58,78.41,94.72,Available,SAFE
Worker-0242,Mining Area,51.55,74.77,78.99,5.74,45.3,46.22,Missing,WARNING
Worker-0243,Steel Furnace,24.5,39.38,36.6,8.45,40.0,72.36,Missing,WARNING
Worker-0244,Power Station,36.35,0.0,49.08,5.82,82.84,28.29,Missing,SAFE
Worker-0245,Assembly Line,44.77,59.48,62.39,5.09,55.54,81.77,Missing,WARNING
Worker-0246,Assembly Line,44.59,21.67,51.13,7.64,57.3,50.46,Available,SAFE
Worker-0247,Power Station,24.42,4.66,89.42,9.03,70.81,91.2,Missing,WARNING
Worker-0248,Refinery Zone,34.96,71.0,47.89,3.29,111.52,81.47,Available,WARNING
Worker-0249,Refinery Zone,77.36,29.86,74.84,6.73,80.99,62.18,Available,SAFE
Worker-0250,Mining Area,45.48,26.16,69.2,5.61,61.45,67.82,Missing,SAFE
Worker-0251,Chemical Plant,39.52,49.62,33.06,4.15,55.57,75.85,Available,SAFE
Worker-0252,Refinery Zone,29.3,58.42,83.71,3.39,89.38,11.78,Missing,SAFE
Worker-0253,Steel Furnace,59.94,26.08,31.56,2.85,105.03,20.32,Available,WARNING
Worker-0254,Steel Furnace,64.92,58.91,69.12,1.38,118.3,92.32,Available,WARNING
Worker-0255,Chemical Plant,35.35,68.2,61.14,6.24,80.37,73.59,Available,SAFE
Worker-0256,Assembly Line,53.07,71.81,52.7,9.35,58.22,29.09,Available,WARNING
Worker-0257,Assembly Line,29.33,0.0,100.0,9.49,52.94,30.46,Missing,WARNING
Worker-0258,Refinery Zone,41.68,38.08,66.15,3.57,91.31,79.36,Available,SAFE
Worker-0259,Refinery Zone,42.49,52.06,55.03,8.58,107.15,71.92,Missing,WARNING
Worker-0260,Assembly Line,54.94,74.34,63.62,9.86,49.06,89.68,Missing,CRITICAL
Worker-0261,Steel Furnace,51.0,28.72,49.43,5.55,86.73,81.46,Available,SAFE
Worker-0262,Refinery Zone,49.63,87.56,64.82,3.68,120.0,58.03,Available,WARNING
Worker-0263,Chemical Plant,56.3,54.53,85.8,2.44,88.46,49.23,Missing,WARNING
Worker-0264,Steel Furnace,41.86,23.74,48.39,6.0,86.77,72.31,Available,SAFE
Worker-0265,Refinery Zone,27.06,56.12,83.93,5.99,62.8,10.44,Missing,SAFE
Worker-0266,Chemical Plant,33.23,61.21,57.58,3.94,83.39,22.66,Available,SAFE
Worker-0267,Chemical Plant,55.84,35.68,94.54,8.98,67.01,60.41,Missing,CRITICAL
Worker-0268,Steel Furnace,23.72,0.98,29.49,8.15,100.25,17.9,Missing,WARNING
Worker-0269,Refinery Zone,36.72,108.95,48.72,6.22,78.69,57.73,Missing,WARNING
Worker-0270,Assembly Line,75.92,75.21,80.48,3.43,86.85,80.13,Missing,CRITICAL
Worker-0271,Power Station,32.73,44.92,56.6,8.06,65.94,70.15,Missing,WARNING
Worker-0272,Steel Furnace,46.33,81.94,37.17,3.95,71.13,46.89,Missing,WARNING
Worker-0273,Assembly Line,43.76,41.96,90.27,9.99,87.62,89.31,Missing,WARNING
Worker-0274,Steel Furnace,29.64,91.35,84.42,2.07,86.64,44.84,Missing,WARNING
Worker-0275,Power Station,39.42,72.22,97.69,2.66,105.86,40.79,Missing,CRITICAL
Worker-0276,Refinery Zone,47.11,0.79,66.46,3.33,72.05,46.52,Available,SAFE
Worker-0277,Mining Area,52.7,31.68,36.6,2.2,40.0,16.85,Missing,SAFE
Worker-0278,Chemical Plant,44.59,89.31,93.23,7.89,65.86,23.51,Missing,CRITICAL
Worker-0279,Steel Furnace,30.02,52.54,75.32,9.61,99.54,15.86,Missing,WARNING
Worker-0280,Mining Area,43.5,39.91,42.44,9.16,58.46,31.21,Missing,WARNING
Worker-0281,Power Station,58.7,24.92,89.85,1.59,69.58,51.44,Available,WARNING
Worker-0282,Steel Furnace,20.0,67.1,74.74,1.2,69.37,66.42,Available,SAFE
Worker-0283,Steel Furnace,46.0,57.9,28.75,7.58,64.42,93.41,Missing,WARNING
Worker-0284,Refinery Zone,56.91,13.64,65.87,5.18,47.87,92.62,Available,WARNING
Worker-0285,Refinery Zone,20.77,74.12,45.31,8.66,58.79,57.7,Available,WARNING
Worker-0286,Chemical Plant,29.76,46.54,68.58,1.61,88.86,70.17,Missing,SAFE
Worker-0287,Assembly Line,32.59,47.15,38.56,2.49,40.0,90.38,Missing,WARNING
Worker-0288,Power Station,51.55,67.6,12.74,6.86,54.81,56.36,Missing,SAFE
Worker-0289,Assembly Line,45.31,26.8,56.34,1.47,102.5,76.83,Available,SAFE
Worker-0290,Steel Furnace,35.31,25.02,50.35,7.81,55.93,54.15,Missing,WARNING
Worker-0291,Assembly Line,49.85,38.69,54.16,9.86,43.74,75.62,Available,SAFE
Worker-0292,Power Station,58.25,43.05,56.39,1.95,120.0,65.83,Missing,WARNING
Worker-0293,Assembly Line,38.6,73.71,62.27,3.58,46.23,77.39,Available,WARNING
Worker-0294,Mining Area,73.1,72.0,51.05,9.24,100.62,55.31,Missing,CRITICAL
Worker-0295,Assembly Line,52.27,23.84,47.13,8.71,95.6,87.02,Missing,WARNING
Worker-0296,Power Station,39.98,34.91,40.9,4.96,83.47,62.3,Available,SAFE
